name,description,discount,price
Lakme,Lakme Kajal &amp; Lipcare Set,(25% OFF),"<span><span class=""product-discountedPrice""><!-- react-text: 1645 -->Rs. <!-- /react-text --><!-- react-text: 1646 -->401<!-- /react-text --></span><span class=""product-strike""><!-- react-text: 1648 -->Rs. <!-- /react-text --><!-- react-text: 1649 -->535<!-- /react-text --></span></span><span class=""product-discountPercentage"">(25% OFF)</span>"
Lakme,Lakme Women Set of 2 Eye Makeup,(25% OFF),"<span><span class=""product-discountedPrice""><!-- react-text: 1675 -->Rs. <!-- /react-text --><!-- react-text: 1676 -->408<!-- /react-text --></span><span class=""product-strike""><!-- react-text: 1678 -->Rs. <!-- /react-text --><!-- react-text: 1679 -->545<!-- /react-text --></span></span><span class=""product-discountPercentage"">(25% OFF)</span>"
Lakme,Lakme Eyeconic Kajal &amp; Absolute Bi-Phased Make-Up Remover,(25% OFF),"<span><span class=""product-discountedPrice""><!-- react-text: 1705 -->Rs. <!-- /react-text --><!-- react-text: 1706 -->333<!-- /react-text --></span><span class=""product-strike""><!-- react-text: 1708 -->Rs. <!-- /react-text --><!-- react-text: 1709 -->445<!-- /react-text --></span></span><span class=""product-discountPercentage"">(25% OFF)</span>"
Lakme,Lakme 9to5 Black Impact Eyeliner &amp; Eyeconic Deep Black Kajal,(10% OFF),"<span><span class=""product-discountedPrice""><!-- react-text: 1735 -->Rs. <!-- /react-text --><!-- react-text: 1736 -->400<!-- /react-text --></span><span class=""product-strike""><!-- react-text: 1738 -->Rs. <!-- /react-text --><!-- react-text: 1739 -->445<!-- /react-text --></span></span><span class=""product-discountPercentage"">(10% OFF)</span>"
Lakme,Lakme Eyeconic Deep Black + Regal Green Kajals,(10% OFF),"<span><span class=""product-discountedPrice""><!-- react-text: 1765 -->Rs. <!-- /react-text --><!-- react-text: 1766 -->400<!-- /react-text --></span><span class=""product-strike""><!-- react-text: 1768 -->Rs. <!-- /react-text --><!-- react-text: 1769 -->445<!-- /react-text --></span></span><span class=""product-discountPercentage"">(10% OFF)</span>"
Lakme,Lakme 9to5 Long Wear Berry Business Nail Polish &amp; Eyeconic Deep Black Kajal,(10% OFF),"<span><span class=""product-discountedPrice""><!-- react-text: 1795 -->Rs. <!-- /react-text --><!-- react-text: 1796 -->351<!-- /react-text --></span><span class=""product-strike""><!-- react-text: 1798 -->Rs. <!-- /react-text --><!-- react-text: 1799 -->390<!-- /react-text --></span></span><span class=""product-discountPercentage"">(10% OFF)</span>"
Lakme,Lakme Women Beauty Gift Set,(10% OFF),"<span><span class=""product-discountedPrice""><!-- react-text: 1825 -->Rs. <!-- /react-text --><!-- react-text: 1826 -->351<!-- /react-text --></span><span class=""product-strike""><!-- react-text: 1828 -->Rs. <!-- /react-text --><!-- react-text: 1829 -->390<!-- /react-text --></span></span><span class=""product-discountPercentage"">(10% OFF)</span>"
Lakme,Lakme Eyeconic Deep Black Kajal &amp; Absolute Gel Stylist Pink Champagne Nail Color,(10% OFF),"<span><span class=""product-discountedPrice""><!-- react-text: 1855 -->Rs. <!-- /react-text --><!-- react-text: 1856 -->423<!-- /react-text --></span><span class=""product-strike""><!-- react-text: 1858 -->Rs. <!-- /react-text --><!-- react-text: 1859 -->470<!-- /react-text --></span></span><span class=""product-discountPercentage"">(10% OFF)</span>"
Lakme,Lakme 9to5 Long Wear Rose Rush Nail Colour with Eyeconic Deep Black Kajal,(10% OFF),"<span><span class=""product-discountedPrice""><!-- react-text: 1885 -->Rs. <!-- /react-text --><!-- react-text: 1886 -->351<!-- /react-text --></span><span class=""product-strike""><!-- react-text: 1888 -->Rs. <!-- /react-text --><!-- react-text: 1889 -->390<!-- /react-text --></span></span><span class=""product-discountPercentage"">(10% OFF)</span>"
Soch,Soch Women Brown &amp; Orange Printed Straight Kurta,(Rs. 303 OFF),"<span><span class=""product-discountedPrice""><!-- react-text: 1915 -->Rs. <!-- /react-text --><!-- react-text: 1916 -->494<!-- /react-text --></span><span class=""product-strike""><!-- react-text: 1918 -->Rs. <!-- /react-text --><!-- react-text: 1919 -->798<!-- /react-text --></span></span><span class=""product-discountPercentage"">(Rs. 303 OFF)</span>"
HERE&amp;NOW,HERE&amp;NOW Men Red Printed Round Neck T-shirt,(30% OFF),"<span><span class=""product-discountedPrice""><!-- react-text: 1951 -->Rs. <!-- /react-text --><!-- react-text: 1952 -->559<!-- /react-text --></span><span class=""product-strike""><!-- react-text: 1954 -->Rs. <!-- /react-text --><!-- react-text: 1955 -->799<!-- /react-text --></span></span><span class=""product-discountPercentage"">(30% OFF)</span>"
Maybelline,Maybelline New York Black Colossal Kajal 0.35g,(15% OFF),"<span><span class=""product-discountedPrice""><!-- react-text: 1985 -->Rs. <!-- /react-text --><!-- react-text: 1986 -->153<!-- /react-text --></span><span class=""product-strike""><!-- react-text: 1988 -->Rs. <!-- /react-text --><!-- react-text: 1989 -->180<!-- /react-text --></span></span><span class=""product-discountPercentage"">(15% OFF)</span>"
